"Folder"	"SeriesName"	"Genres"	"Language"	"Year"	"Source"	"InMongo"	"MongoId"
"A Caverna Encantada"	"A Caverna Encantada"	"Soap|Família|Action & Adventure|Drama"	"pt"	"2024"	"TMDb-Soap"	"True"	"6ab04b26df06776bfe0b691f"
"A Cozinheira de Castamar"	"A Cozinheira de Castamar"	"Drama|Soap"	"es"	"2021"	"TMDb-Soap"	"True"	"6ab04c97df06776bfe0b6ad5"
"A Desalmada"	"A Desalmada"	"Soap|Drama"	"es"	"2021"	"TMDb-Soap"	"True"	"6ab04d9fdf06776bfe0b6cca"
"A Dona do Pedaço"	"A Dona do Pedaço"	"Soap|Drama|Comédia|Crime"	"pt"	"2019"	"TMDb-Soap"	"True"	"6aaeb14d2d6a320f5fb51db7"
"A Era de Miyu"	"A Era de Miyu"	"Drama|Família|Soap"	"zh"	"2026"	"TMDb-Soap"	"True"	"6ab04d8adf06776bfe0b6ca4"
"A Escrava Isaura (2004)"	"A Escrava Isaura"	"Drama|Soap"	"pt"	"2004"	"TMDb-Soap"	"True"	"6ab04f49df06776bfe0b6f3a"
"A Favorita"	"A Favorita"	"Soap|Drama|Mistério"	"pt"	"2008"	"TMDb-Soap"	"True"	"6aaeb2c12d6a320f5fb523ce"
"A Força do Querer"	"A Força do Querer"	"Soap|Comédia|Drama|Crime"	"pt"	"2017"	"TMDb-Soap"	"True"	"6aaeb3102d6a320f5fb52488"
"A Gata Comeu"	"A Gata Comeu"	"Soap|Comédia"	"pt"	"1985"	"TMDb-Soap"	"True"	"6aaeb33e2d6a320f5fb5253f"
"A Indomada"	"A Indomada"	"Soap|Drama|Comédia"	"pt"	"1997"	"TMDb-Soap"	"True"	"6aafa8bcf7690c13ea801987"
"A Infância de Romeu e Julieta"	"A Infância de Romeu e Julieta"	"Drama|Família|Soap"	"pt"	"2023"	"TMDb-Soap"	"True"	"6ab056dfdf06776bfe0b7dad"
"A Lei do Amor"	"A Lei do Amor"	"Drama|Soap"	"pt"	"2016"	"TMDb-Soap"	"True"	"6aaeb2262d6a320f5fb52139"
"A Lua Me Disse"	"A Lua Me Disse"	"Soap|Comédia|Drama"	"pt"	"2005"	"TMDb-Soap"	"True"	"6ab05038df06776bfe0b71bc"
"A Mentira"	"A Mentira"	"Soap"	"es"	"1998"	"TMDb-Soap"	"True"	"6aaeb2292d6a320f5fb52152"
"A Mulher Proibida"	"A Mulher Proibida"	"Drama|Soap"	"es"	"2026"	"TMDb-Soap"	"True"	"6ab05127df06776bfe0b732f"
"A Nobreza do Amor"	"A Nobreza do Amor"	"Drama|Sci-Fi & Fantasy|Soap"	"pt"	"2026"	"TMDb-Soap"	"True"	"6ab05188df06776bfe0b73bf"
"A Nova Vida de Ana"	"A Nova Vida de Ana"	"Soap|Drama"	"es"	"2023"	"TMDb-Soap"	"True"	"6ab04e5fdf06776bfe0b6e26"
"A Promessa"	"A Promessa"	"Drama|Mistério|Soap"	"es"	"2023"	"TMDb-Soap"	"True"	"6ab052d5df06776bfe0b7614"
"A Próxima Vítima"	"A Próxima Vítima"	"Soap|Crime|Drama"	"pt"	"1995"	"TMDb-Soap"	"True"	"6aafa788f7690c13ea80177d"
"A Rainha da Pérsia"	"A Rainha da Pérsia"	"Drama|Soap|War & Politics|Action & Adventure|Mistério"	"pt"	"2024"	"TMDb-Soap"	"True"	"6ab0509bdf06776bfe0b726a"
"A Regra do Jogo"	"A Regra do Jogo"	"Soap|Drama|Crime|Comédia"	"pt"	"2015"	"TMDb-Soap"	"True"	"6aaeb22f2d6a320f5fb5218a"
"A Sonhadora"	"A Sonhadora"	"Drama|Comédia|Soap"	"tr"	"2018"	"TMDb-Soap"	"True"	"6ab05361df06776bfe0b7799"
"A Sucessora"	"A Sucessora"	"Drama|Soap"	"pt"	"1978"	"TMDb-Soap"	"True"	"6ab0527edf06776bfe0b750a"
"A Terra Prometida"	"A Terra Prometida"	"Soap"	"pt"	"2016"	"TMDb-Soap"	"True"	"6aaeb2342d6a320f5fb521bf"
