Id	Name	OriginalTitle	Path	Genres	OriginalLanguage	ProductionYear	Studios
f16852ef-1f49-aa4a-75d3-d23949adccb6	#blackAF	#blackAF	N:\Series\#blackAF	Comédia	en	2020	Netflix
2d7835db-ae18-ccea-3ceb-e5f77968a4cc	(fdp)	(fdp)	N:\Series\fdp	Comédia|Drama	pt	2012	HBO Brasil|
f169c07b-eab9-4068-9b9e-439f124acb6d	(In)Vulneráveis	(In)Vulneráveis	N:\Series\(In)Vulneráveis		pt	2026	Universal Channel
1cb24e46-a733-88e2-13f0-990245f945c9	011ZE: Nova Geração	O11CE: Nueva generación	N:\Series\011ZE - Nova Geração	Drama	es	2026	Disney+
7af8b3ea-8914-329a-4511-863e83575858	1 Contra Todos	1 Contra Todos	N:\Series\1 Contra Todos	Drama|Crime	pt	2016	Fox Brasil
588f036c-42ee-b1c8-d5b0-19ed2490e4e6	11.22.63	11.22.63	N:\Series\11.22.63	Drama|Sci-Fi & Fantasy	en	2016	Hulu
bebdad6e-d3d3-4b7a-c35e-6635b0c13f7b	13 Reasons Why	13 Reasons Why	N:\Series\13 Reasons Why	Drama|Mistério	en	2017	Netflix
c596aa99-b397-1eea-d003-1a03b7d1d3f1	1670	1670	N:\Series\1670	Comédia	pl	2023	Netflix
1e044063-9a7c-282a-9f70-39d95874608c	1883	1883	N:\Series\1883	Drama|Faroeste	en	2021	Paramount+
151daca7-d210-c54c-bc7e-47fc887acd26	1899	1899	N:\Series\1899	Mistério|Drama	de	2022	Netflix
fc650a57-dde6-02f9-6ff2-f10492a713d1	1923	1923	N:\Series\1923	Drama|Faroeste	en	2022	Paramount+
7193a480-2eeb-c8ef-2da5-86f61f188830	24 Horas	24	N:\Series\24 Horas	Action & Adventure|Drama|Crime	en	2001	FOX
193134fb-e534-23a9-fb7c-45ad158b4fbb	24 Horas: O Legado	24: Legacy	N:\Series\24 Horas - O Legado	Crime|Drama|Mistério	en	2017	FOX
26a1857b-ab43-0d1e-2e24-efbb05ccbb8f	28 Dias Assombrados	28 Days Haunted	N:\Series\28 Dias Assombrados	Reality	en	2022	Netflix
104e070c-9944-aeed-aec8-7494e4806831	3 Tonelada$: Assalto ao Banco Central	3 Tonelada$: Assalto ao Banco Central	N:\Series\3 ToneladaS - Assalto ao Banco Central	Documentário	pt	2022	Netflix
dcdcb4ae-3d1f-4401-0013-b288d049d53f	3.2.1, Adeus e Ponto Final	NULL	N:\Series\3.2.1, Adeus e Ponto Final	Liderança Feminina	NULL	2026	
2cfd04e8-44c0-6d5d-96b6-072065f43087	30 Moedas	30 monedas	N:\Series\30 Monedas	Crime|Mistério|Drama	es	2020	HBO España|HBO Max
e26d9f46-55e8-22b2-c604-5b511b705dd5	30 Segundos	30 Segundos	N:\Series\30 Segundos	Documentário	pt	2022	HBO Max
c9da6e17-c609-89ce-c6be-e36aaa661681	4 Blocks	4 Blocks	N:\Series\4 Blocks	Crime|Drama	de	2017	TNT Serie
