Name	Path
A Bela e o Sr. Romantico	N:\\Series\\A Bela e o Sr. Romantico
A Bela e o Sr. Romantico	N:\\Series\\A Bela e o Sr. Romantico
A Caverna Encantada	N:\\Series\\A Caverna Encantada
A Caverna Encantada	N:\\Series\\A Caverna Encantada
A Caverna Encantada	N:\\Series\\A Caverna Encantada
A Cozinheira de Castamar	N:\\Series\\A Cozinheira de Castamar
A Desalmada	N:\\Series\\A Desalmada
A Dona do Pedaço	N:\\Series\\A Dona do Pedaço
A Era de Miyu	N:\\Series\\A Era de Miyu
A Escrava Isaura	N:\\Series\\A Escrava Isaura (2004)
A Favorita	N:\\Series\\A Favorita
A Força do Querer	N:\\Series\\A Força do Querer
A Garota do Blog	N:\\Series\\Gossip Girl (2021)
A Garota do Blog	N:\\Series\\Gossip Girl
A Garota do Blog	N:\\Series\\Gossip Girl (2021)
A Garota do Blog	N:\\Series\\Gossip Girl
A Gata Comeu	N:\\Series\\A Gata Comeu
A Indomada	N:\\Series\\A Indomada
A Infância de Romeu e Julieta	N:\\Series\\A Infância de Romeu e Julieta
A Lei do Amor	N:\\Series\\A Lei do Amor
A Lua Me Disse	N:\\Series\\A Lua Me Disse
A Mentira	N:\\Series\\A Mentira
A Mulher Proibida	N:\\Series\\A Mulher Proibida
A Nobreza do Amor	N:\\Series\\A Nobreza do Amor
A Nova Vida de Ana	N:\\Series\\A Nova Vida de Ana
A Promessa	N:\\Series\\A Promessa
A Próxima Vítima	N:\\Series\\A Próxima Vítima
A Próxima Vítima	N:\\Series\\A Vítima
A Rainha da Pérsia	N:\\Series\\A Rainha da Pérsia
A Rainha da Pérsia	N:\\Series\\A Rainha da Pérsia
A Rainha da Pérsia	N:\\Series\\A Rainha da Pérsia
A Regra do Jogo	N:\\Series\\A Regra do Jogo
A Sonhadora	N:\\Series\\A Sonhadora
A Sucessora	N:\\Series\\A Sucessora
A Terra Prometida	N:\\Series\\A Terra Prometida
A Usurpadora	N:\\Series\\A Usurpadora (2019)
A Usurpadora	N:\\Series\\A Usurpadora
A Viagem	N:\\Series\\A Viagem
A Vida da Gente	N:\\Series\\A Vida da Gente
Acorrentada	N:\\Series\\Acorrentada
Agora é Que São Elas	N:\\Series\\Agora é Que São Elas
Além da Ilusão	N:\\Series\\Além da Ilusão
Além da Usurpadora	N:\\Series\\Além da Usurpadora
Além do Horizonte	N:\\Series\\Além do Horizonte
Além do Tempo	N:\\Series\\Além do Tempo
Alma Gêmea	N:\\Series\\Alma Gêmea
Alma Gêmea	N:\\Series\\Alma Gêmea (2026)
Alma Indomável	N:\\Series\\Alma Indomável
Alma Rebelde	N:\\Series\\Alma
Alto Astral	N:\\Series\\Alto Astral
Amar a Morte	N:\\Series\\Amar a Morte
Amar Demais	N:\\Series\\Amar Demais
Amor à Vida	N:\\Series\\Amor à Vida
Amor com Amor Se Paga	N:\\Series\\Amor com Amor Se Paga
Amor de Mãe	N:\\Series\\Amor de Mãe
Amor e Ódio	N:\\Series\\Amor e Ódio
Amor e Revolução	N:\\Series\\Amor e Revolução (2011)
Amor em Ruínas	N:\\Series\\Amor em Ruínas
Amor Perfeito	N:\\Series\\Amor Perfeito
Amor sem Igual	N:\\Series\\Amor sem Igual
Amor Sem Limites	N:\\Series\\Sem Limites
Andando nas Nuvens	N:\\Series\\Andando nas Nuvens
Anjo Mau	N:\\Series\\Anjo Mau (1997)
Anjo Mau	N:\\Series\\Anjo Mau (1976)
Ao Sul do Coração	N:\\Series\\Ao Sul do Coração
Apaixone-se Intensamente	N:\\Series\\Apaixone-se Intensamente (LEG)
Apocalipse	N:\\Series\\Apocalipse
Aquele Beijo	N:\\Series\\Aquele Beijo
Araguaia	N:\\Series\\Araguaia
As Aventuras de Poliana	N:\\Series\\As Aventuras de Poliana
As Filhas da Mãe	N:\\Series\\As Filhas da Mãe
As Filhas da Senhora Garcia	N:\\Series\\As Filhas da Senhora Garcia
Até que o Dinheiro nos Separe	N:\\Series\\Até que se Prove o Contrário
Avenida Brasil	N:\\Series\\Avenida Brasil
Babilônia	N:\\Series\\Babilônia
Baila Comigo	N:\\Series\\Baila Comigo
Bambolê	N:\\Series\\Bambolê
Barriga de Aluguel	N:\\Series\\Barriga de Aluguel
Bebê a Bordo	N:\\Series\\Bebê a Bordo
Bela, a Feia	N:\\Series\\Bela, a Feia (2009)
Belíssima	N:\\Series\\Belíssima
Betty, A Feia - A História Continua	N:\\Series\\Betty, A Feia - A História Continua
BIA	N:\\Series\\BIA
Bibi de A Força do Querer	N:\\Series\\Bibi de A Força do Querer
Boogie Oogie	N:\\Series\\Boogie Oogie
Brega & Chique	N:\\Series\\Brega e Chique
Cabocla	N:\\Series\\Cabocla
Café com Aroma de Mulher	N:\\Series\\Café com Aroma de Mulher
Cair em Tentação	N:\\Series\\Cair em Tentação
Cama de Gato	N:\\Series\\Cama de Gato
Caminho das Índias	N:\\Series\\Caminho das Índias
Caras & Bocas	N:\\Series\\Caras e Bocas
Celebridade	N:\\Series\\Celebridade
Cheias de Charme	N:\\Series\\Cheias de Charme
Chiquititas	N:\\Series\\Chiquititas (1997)
Chocolate com Pimenta	N:\\Series\\Chocolate com Pimenta
Chocolate com Pimenta	N:\\Series\\Chocolate
Ciranda de Pedra	N:\\Series\\Ciranda de Pedra
Cobras & Lagartos	N:\\Series\\Cobras e Lagartos
Colisão	N:\\Series\\Colisão
Coração Marcado	N:\\Series\\Coração Marcado
Cristal	N:\\Series\\Cristal (2006)
Crônicas de San Francisco	N:\\Series\\Crônicas de San Francisco
Crônicas de San Francisco	N:\\Series\\Crônicas de San Francisco
Cúmplices de um Resgate	N:\\Series\\Cúmplices de um Resgate
Da Cor do Pecado	N:\\Series\\Da Cor do Pecado
Deus Salve o Rei	N:\\Series\\Deus Salve o Rei
Dinastia	N:\\Series\\Dinastia
Duas Caras	N:\\Series\\Duas Caras
Em Família	N:\\Series\\Em Família
Empire: Fama e Poder	N:\\Series\\Empire - Fama e Poder
Éramos Seis	N:\\Series\\Éramos Seis
Escrava Mãe	N:\\Series\\Escrava Mãe
Espelho da Vida	N:\\Series\\Espelho da Vida
